instance_id,repo,base_commit,status,success,agent_seconds,eval_seconds,total_seconds,junie_returncode,eval_returncode,output_dir,error
django__django-11964,django/django,fc2b1cc926e34041953738e58fa6ad3053059b22,failed,False,6.304,3.084,17.731,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-001727/django__django-11964,
django__django-11951,django/django,312049091288dbba2299de8d07ea3e3311ed7238,failed,False,8.974,2.581,19.469,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-001727/django__django-11951,
django__django-11885,django/django,04ac9b45a34440fa447feb6ae934687aacbfc5f4,failed,False,9.322,3.024,20.119,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-001727/django__django-11885,
django__django-11790,django/django,b1d6b35e146aea83b171c1b921178bbaae2795ed,failed,False,9.749,2.697,19.588,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-001727/django__django-11790,
django__django-11999,django/django,84633905273fc916e3d17883810d9969c03f73c2,failed,False,9.422,2.88,20.275,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-001727/django__django-11999,
django__django-12050,django/django,b93a0e34d9b9b99d41103782b7e7aeabf47517e3,failed,False,9.738,3.318,20.967,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-001727/django__django-12050,
django__django-11880,django/django,06909fe084f87a65459a83bd69d7cdbe4fce9a7c,failed,False,9.822,3.431,20.994,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-001727/django__django-11880,
django__django-11848,django/django,f0adf3b9b7a19cdee05368ff0c0c2d087f011180,failed,False,10.583,3.653,21.753,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-001727/django__django-11848,
django__django-12039,django/django,58c1acb1d6054dfec29d0f30b1033bae6ef62aec,failed,False,10.177,3.868,22.202,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-001727/django__django-12039,
django__django-11815,django/django,e02f67ef2d03d48128e7a118bf75f0418e24e8ac,failed,False,10.533,3.846,22.385,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-001727/django__django-11815,
