instance_id,repo,base_commit,status,success,agent_seconds,eval_seconds,total_seconds,junie_returncode,eval_returncode,output_dir,error
django__django-12155,django/django,e8fcdaad5c428878d0a5d6ba820d957013f75595,passed,True,138.476,1.329,149.244,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-170739/django__django-12155,
django__django-12276,django/django,53d8646f799de7f92ab9defe9dc56c6125448102,passed,True,145.279,2.411,157.567,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-170739/django__django-12276,
django__django-12143,django/django,5573a54d409bb98b5c5acdb308310bed02d392c2,passed,True,152.166,3.867,164.692,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-170739/django__django-12143,
django__django-12262,django/django,69331bb851c34f05bc77e9fc24020fe6908b9cd5,passed,True,152.234,3.554,165.944,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-170739/django__django-12262,
django__django-12325,django/django,29c126bb349526b5f1cd78facbe9f25906f18563,failed,False,158.84,6.142,174.049,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-170739/django__django-12325,
django__django-12304,django/django,4c1b401e8250f9f520b3c7dc369554477ce8b15a,passed,True,200.932,7.101,219.945,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-170739/django__django-12304,
django__django-12193,django/django,3fb7c12158a2402f0f80824f6778112071235803,passed,True,241.024,1.759,253.134,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-170739/django__django-12193,
django__django-9296,django/django,84322a29ce9b0940335f8ab3d60e55192bef1e50,passed,True,86.918,3.999,95.082,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-170739/django__django-9296,
django__django-12713,django/django,5b884d45ac5b76234eca614d90c83b347294c332,passed,True,90.555,5.605,100.56,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-170739/django__django-12713,
django__django-12308,django/django,2e0f04507b17362239ba49830d26fec504d46978,failed,False,269.244,3.428,283.503,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-170739/django__django-12308,
sphinx-doc__sphinx-10673,sphinx-doc/sphinx,f35d2a6cc726f97d0e859ca7a0e1729f7da8a6c8,error,False,54.289,0.0,56.704,0,,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-170739/sphinx-doc__sphinx-10673,"Failed to restore test patch targets:
error: pathspec 'tests/roots/test-toctree-index/foo.rst' did not match any file(s) known to git
error: pathspec 'tests/roots/test-toctree-index/index.rst' did not match any file(s) known to git
"
sphinx-doc__sphinx-10435,sphinx-doc/sphinx,f1061c012e214f16fd8790dec3c283d787e3daa8,failed,False,80.705,1.111,83.976,0,4,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-170739/sphinx-doc__sphinx-10435,
sphinx-doc__sphinx-10323,sphinx-doc/sphinx,31eba1a76dd485dc633cae48227b46879eda5df4,failed,False,114.959,2.336,118.939,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-170739/sphinx-doc__sphinx-10323,
django__django-12774,django/django,67f9d076cfc1858b94f9ed6d1a5ce2327dcc8d0d,passed,True,156.974,3.616,165.433,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-170739/django__django-12774,
django__django-12406,django/django,335c9c94acf263901fb023404408880245b0c4b4,failed,False,183.237,4.17,190.427,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-170739/django__django-12406,
django__django-12708,django/django,447980e72ac01da1594dd3373a03ba40b7ee6f80,passed,True,169.713,4.638,178.867,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-170739/django__django-12708,
sphinx-doc__sphinx-11510,sphinx-doc/sphinx,6cb783c0024a873722952a67ebb9f41771c8eb6d,error,False,61.473,0.0,63.343,0,,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-170739/sphinx-doc__sphinx-11510,"Failed to restore test patch targets:
error: pathspec 'tests/roots/test-directive-include/baz/baz.rst' did not match any file(s) known to git
error: pathspec 'tests/roots/test-directive-include/conf.py' did not match any file(s) known to git
error: pathspec 'tests/roots/test-directive-include/foo.rst' did not match any file(s) known to git
error: pathspec 'tests/roots/test-directive-include/text.txt' did not match any file(s) known to git
"
sphinx-doc__sphinx-7590,sphinx-doc/sphinx,2e506c5ab457cba743bb47eb5b8c8eb9dd51d23d,failed,False,5.102,2.89,10.148,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-170739/sphinx-doc__sphinx-7590,
