instance_id,repo,base_commit,status,success,agent_seconds,eval_seconds,total_seconds,junie_returncode,eval_returncode,output_dir,error
django__django-12050,django/django,b93a0e34d9b9b99d41103782b7e7aeabf47517e3,passed,True,94.961,1.26,102.475,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-12050,
django__django-11951,django/django,312049091288dbba2299de8d07ea3e3311ed7238,passed,True,131.745,1.412,139.206,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-11951,
django__django-12039,django/django,58c1acb1d6054dfec29d0f30b1033bae6ef62aec,passed,True,156.234,1.307,163.763,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-12039,
django__django-11790,django/django,b1d6b35e146aea83b171c1b921178bbaae2795ed,failed,False,195.738,1.592,202.975,0,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-11790,
django__django-11815,django/django,e02f67ef2d03d48128e7a118bf75f0418e24e8ac,passed,True,205.225,1.256,212.391,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-11815,
django__django-11880,django/django,06909fe084f87a65459a83bd69d7cdbe4fce9a7c,passed,True,209.449,1.37,216.788,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-11880,
django__django-11848,django/django,f0adf3b9b7a19cdee05368ff0c0c2d087f011180,passed,True,215.484,1.226,222.652,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-11848,
django__django-11964,django/django,fc2b1cc926e34041953738e58fa6ad3053059b22,passed,True,254.542,1.196,261.755,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-11964,
django__django-11885,django/django,04ac9b45a34440fa447feb6ae934687aacbfc5f4,passed,True,287.383,1.554,294.875,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-11885,
django__django-11999,django/django,84633905273fc916e3d17883810d9969c03f73c2,passed,True,321.382,1.41,328.866,0,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260504-162324/django__django-11999,
