instance_id,repo,base_commit,status,success,agent_seconds,eval_seconds,total_seconds,junie_returncode,eval_returncode,output_dir,error
sphinx-doc__sphinx-8056,sphinx-doc/sphinx,e188d56ed1248dead58f3f8018c0e9a3f99193f7,passed,True,0.041,1.641,5.918,,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-8056,
sphinx-doc__sphinx-8548,sphinx-doc/sphinx,dd1615c59dc6fff633e27dbb3861f2d27e1fb976,failed,False,0.028,2.337,6.19,,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-8548,
sphinx-doc__sphinx-7748,sphinx-doc/sphinx,9988d5ce267bf0df4791770b469431b1fb00dcdd,failed,False,0.041,2.639,7.17,,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-7748,
sphinx-doc__sphinx-9229,sphinx-doc/sphinx,876fa81e0a038cda466925b85ccf6c5452e0f685,failed,False,0.058,2.675,7.001,,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-9229,
sphinx-doc__sphinx-9281,sphinx-doc/sphinx,8ec06e9a1bd862cd713b9db748e039ccc7b3e15b,failed,False,0.024,2.389,6.296,,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-9281,
sphinx-doc__sphinx-8638,sphinx-doc/sphinx,4b452338f914d4f6b54704222d70ae8a746e3db5,failed,False,0.05,3.111,7.516,,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-8638,
sphinx-doc__sphinx-8721,sphinx-doc/sphinx,82ef497a8c88f0f6e50d84520e7276bfbf65025d,failed,False,0.033,2.942,6.849,,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-8721,
sphinx-doc__sphinx-8551,sphinx-doc/sphinx,57ed10c68057c96491acbd3e62254ccfaf9e3861,passed,True,0.033,3.097,6.953,,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-8551,
sphinx-doc__sphinx-9230,sphinx-doc/sphinx,567ff22716ac258b9edd2c1711d766b440ac0b11,passed,True,0.028,3.848,7.746,,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-9230,
sphinx-doc__sphinx-7985,sphinx-doc/sphinx,f30284ef926ebaf04b176f21b421e2dffc679792,failed,False,0.051,5.443,9.645,,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-7985,
sphinx-doc__sphinx-9320,sphinx-doc/sphinx,e05cef574b8f23ab1b57f57e7da6dee509a4e230,passed,True,0.016,1.387,3.192,,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-9320,
sphinx-doc__sphinx-9367,sphinx-doc/sphinx,6918e69600810a4664e53653d6ff0290c3c4a788,passed,True,0.026,0.779,2.382,,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-9367,
sphinx-doc__sphinx-9698,sphinx-doc/sphinx,f050a7775dfc9000f55d023d36d925a8d02ccfa8,passed,True,0.031,2.013,3.573,,0,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-9698,
sphinx-doc__sphinx-9461,sphinx-doc/sphinx,939c7bb7ff7c53a4d27df067cea637540f0e1dad,failed,False,0.023,2.628,4.149,,1,/Users/iuliia.liutova/study/thesis/explainable-ai-plugin/evaluation/swe-bench-verified-mini/results/junie/20260515-172126/sphinx-doc__sphinx-9461,
